QuestionId,QuestionTitle,QuestionBody,QuestionTags,QuestionBodyLength,URLImageCount,LOC,UserReputation,UserGoldBadges,UserSilverBadges,UserBronzeBadges,QuestionAcceptRate,QuestionViewCount,QuestionFavoriteCount,UserUpVoteCount,QuestionAnswersCount,QuestionScore,QuestionCreationDate,FirstAnswerCreationDate,AcceptedAnswerCreationDate,FirstAnswerIntervalDays,AcceptedAnswerIntervalDays,QuestionLabel,QuestionLabelDefinition,MergedText,ProcessedText
48481028,Building SQL Server Database Project In Ubuntu,"I'm building an ASP.NET Core 2.0 Web API application that is hosted in an Ubuntu environment. So far, I've had great success getting things building and running (for the .NET Core app) in Ubuntu.
For the database, I have a SqlProj included in my solution. The project includes typical things such as tables, SPs, and pre/post deployment scripts. I'm using the following command (on my Windows-based dev machine) to build and deploy this project:
msbuild .\MyProject.DB.sqlproj /t:Build /t:Publish /P:SqlPublishProfilePath=""./PublishProfiles/MyProject.DB.publish.xml""
When I take this approach, everything builds and deploys properly; however, since I will be taking advantage of the .NET Core CLI commands + CI/CD that targets an Ubuntu environment, I'd like to do something more like:
dotnet msbuild .\MyProject.DB.sqlproj /t:Build /t:Publish /P:SqlPublishProfilePath=""./PublishProfiles/MyProject.DB.publish.xml""
In Windows, I immediately get the error:
error MSB4019: The imported project ""C:\Program Files\dotnet\sdk\2.1.4\Microsoft\VisualStudio\v11.0\SSDT\Microsoft.Data.Tools.Schema.SqlTasks.targets"" was not found. Confirm that the path in the &lt;Import&gt; declaration is correct, and that the file exists on disk.
Basically, what I'm asking is how to successfully build and deploy a SqlProj project in an Ubuntu environment. I've tried Googling, but I have had zero luck thus far. All of the similar issues that I've found were for individuals who were editing their .proj file to target their VS folder's SSDT. All of these individuals were fixing the issue in Windows. This approach will not work in Ubuntu, since the targets file uses Windows registry keys.
EDIT: I'm aware that SSDT is needed in order to perform such a deployment using MSBuild. I've found no evidence that installing/using SSDT is even possible in Ubuntu. If it is not, perhaps there is an alternative solution?
FYI, I'm aware that using a code-first approach with EF Core is possible. I'm attempting to take the raw SP approach (along with leveraging indexes) and keep track of all of my code using SqlProj instead. This will all be stored and CI/CDed from a Git repo.
",<sql-server><ubuntu><msbuild><.net-core><sql-server-data-tools>,2151,0,3,669,0,5,21,62,5222,0.0,146,7,23,2018-01-27 22:05,2018-01-28 18:10,2020-04-28 18:14,1.0,822.0,Intermediate,17,"<sql-server><ubuntu><msbuild><.net-core><sql-server-data-tools>, Building SQL Server Database Project In Ubuntu, I'm building an ASP.NET Core 2.0 Web API application that is hosted in an Ubuntu environment. So far, I've had great success getting things building and running (for the .NET Core app) in Ubuntu.
For the database, I have a SqlProj included in my solution. The project includes typical things such as tables, SPs, and pre/post deployment scripts. I'm using the following command (on my Windows-based dev machine) to build and deploy this project:
msbuild .\MyProject.DB.sqlproj /t:Build /t:Publish /P:SqlPublishProfilePath=""./PublishProfiles/MyProject.DB.publish.xml""
When I take this approach, everything builds and deploys properly; however, since I will be taking advantage of the .NET Core CLI commands + CI/CD that targets an Ubuntu environment, I'd like to do something more like:
dotnet msbuild .\MyProject.DB.sqlproj /t:Build /t:Publish /P:SqlPublishProfilePath=""./PublishProfiles/MyProject.DB.publish.xml""
In Windows, I immediately get the error:
error MSB4019: The imported project ""C:\Program Files\dotnet\sdk\2.1.4\Microsoft\VisualStudio\v11.0\SSDT\Microsoft.Data.Tools.Schema.SqlTasks.targets"" was not found. Confirm that the path in the &lt;Import&gt; declaration is correct, and that the file exists on disk.
Basically, what I'm asking is how to successfully build and deploy a SqlProj project in an Ubuntu environment. I've tried Googling, but I have had zero luck thus far. All of the similar issues that I've found were for individuals who were editing their .proj file to target their VS folder's SSDT. All of these individuals were fixing the issue in Windows. This approach will not work in Ubuntu, since the targets file uses Windows registry keys.
EDIT: I'm aware that SSDT is needed in order to perform such a deployment using MSBuild. I've found no evidence that installing/using SSDT is even possible in Ubuntu. If it is not, perhaps there is an alternative solution?
FYI, I'm aware that using a code-first approach with EF Core is possible. I'm attempting to take the raw SP approach (along with leveraging indexes) and keep track of all of my code using SqlProj instead. This will all be stored and CI/CDed from a Git repo.
","<sal-server><bunt><build><.net-core><sal-server-data-tools>, build sal server database project bunt, i'm build asp.net core 2.0 web apt applied host bunt environment. far, i'v great success get thing build run (for .net core pp) bunt. database, sqlproj include solution. project include topic thing tables, spy, pre/post deploy script. i'm use follow command (on windows-was de machine) build deploy project: build .\project.do.sqlproj /t:build /t:publish /p:sqlpublishprofilepath=""./publishprofiles/project.do.publish.all"" take approach, every build deploy properly; however, since take advantage .net core coli command + i/d target bunt environment, i'd like cometh like: done build .\project.do.sqlproj /t:build /t:publish /p:sqlpublishprofilepath=""./publishprofiles/project.do.publish.all"" windows, dimmed get error: error msb4019: import project ""c:\program files\done\sd\2.1.4\microsoft\visualstudio\ve.0\side\microsoft.data.tools.scheme.sqltasks.target"" found. confirm path &it;import&it; declare correct, file exist disk. basically, i'm ask success build deploy sqlproj project bunt environment. i'v try cooling, zero luck the far. similar issue i'v found individu edit .pro file target vs older' side. individu fix issue windows. approach work bunt, since target file use window registry keys. edit: i'm war side need order perform deploy use build. i'v found evil installing/us side even possible bunt. not, perhaps alter solution? foi, i'm war use code-first approach of core possible. i'm attempt take raw s approach (along several indexes) keep track code use sqlproj instead. store i/d git rep."
50833992,Postgresql | No space left on device,"I am getting space issue while running a batch process on PostgreSQL database.
However, df -h command shows that machine has enough space
below is the exact error 
org.springframework.dao.DataAccessResourceFailureException: PreparedStatementCallback; SQL [INSERT into BATCH_JOB_INSTANCE(JOB_INSTANCE_ID, JOB_NAME, JOB_KEY, VERSION) values (?, ?, ?, ?)]; ERROR: could not extend file ""base/16388/16452"": No space left on device
  Hint: Check free disk space.
What is causing this issue? 
EDIT
postgres data directory is /var/opt/rh/rh-postgresql96/lib/pgsql/data
df -h /var/opt/rh/rh-postgresql96/lib/pgsql/data
Filesystem      Size  Used Avail Use% Mounted on
/dev/xvda2      100G   63G   38G  63% /
",<postgresql><database-administration><postgresql-9.6>,700,1,7,1636,2,22,44,68,67654,0.0,105,1,23,2018-06-13 9:40,2018-06-13 11:22,2018-06-13 11:22,0.0,0.0,Advanced,33,"<postgresql><database-administration><postgresql-9.6>, Postgresql | No space left on device, I am getting space issue while running a batch process on PostgreSQL database.
However, df -h command shows that machine has enough space
below is the exact error 
org.springframework.dao.DataAccessResourceFailureException: PreparedStatementCallback; SQL [INSERT into BATCH_JOB_INSTANCE(JOB_INSTANCE_ID, JOB_NAME, JOB_KEY, VERSION) values (?, ?, ?, ?)]; ERROR: could not extend file ""base/16388/16452"": No space left on device
  Hint: Check free disk space.
What is causing this issue? 
EDIT
postgres data directory is /var/opt/rh/rh-postgresql96/lib/pgsql/data
df -h /var/opt/rh/rh-postgresql96/lib/pgsql/data
Filesystem      Size  Used Avail Use% Mounted on
/dev/xvda2      100G   63G   38G  63% /
","<postgresql><database-administration><postgresql-9.6>, postgresql | space left device, get space issue run batch process postgresql database. however, of -h command show machine enough space exact error org.springframework.do.dataaccessresourcefailureexception: preparedstatementcallback; sal [insert batch_job_instance(job_instance_id, job_name, jockey, version) value (?, ?, ?, ?)]; error: could extend file ""base/16388/16452"": space left devil hint: check free disk space. cause issue? edit poster data director /war/opt/oh/oh-postgresql96/limb/pgsql/data of -h /war/opt/oh/oh-postgresql96/limb/pgsql/data filesystem size use avail use% mount /de/xvda2 100g fig fig 63% /"
50813493,NameError: name 'dbutils' is not defined in pyspark,"I am running a pyspark job in databricks cloud. I need to write some of the csv files to databricks filesystem (dbfs) as part of this job and also i need to use some of the dbutils native commands like,
#mount azure blob to dbfs location
dbutils.fs.mount (source=""..."",mount_point=""/mnt/..."",extra_configs=""{key:value}"")
I am also trying to unmount once the files has been written to the mount directory. But, when i am using dbutils directly in the pyspark job it is failing with 
NameError: name 'dbutils' is not defined
Should i import any of the package to use dbutils in pyspark code ? Thanks in advance.
",<apache-spark-sql><azure-blob-storage><databricks>,610,0,3,1079,5,12,18,37,25162,0.0,73,3,23,2018-06-12 9:16,2018-10-23 11:17,,133.0,,Basic,12,"<apache-spark-sql><azure-blob-storage><databricks>, NameError: name 'dbutils' is not defined in pyspark, I am running a pyspark job in databricks cloud. I need to write some of the csv files to databricks filesystem (dbfs) as part of this job and also i need to use some of the dbutils native commands like,
#mount azure blob to dbfs location
dbutils.fs.mount (source=""..."",mount_point=""/mnt/..."",extra_configs=""{key:value}"")
I am also trying to unmount once the files has been written to the mount directory. But, when i am using dbutils directly in the pyspark job it is failing with 
NameError: name 'dbutils' is not defined
Should i import any of the package to use dbutils in pyspark code ? Thanks in advance.
","<apache-spark-sal><azure-blow-storage><databricks>, nameerror: name 'duties' define spark, run spark job databrick cloud. need write is file databrick filesystem (days) part job also need use dbutil native command like, #mount azur blow def local duties.is.mount (source=""..."",mount_point=""/met/..."",extra_configs=""{key:value}"") also try amount file written mount directory. but, use dbutil directly spark job fail nameerror: name 'duties' define import package use dbutil spark code ? thank advance."
59850951,When to use float vs decimal,"I'm building this API, and the database will store values that represent one of the following:
percentage
average
rate
I honestly have no idea how to represent something that the range is between 0 and 100% in numbers. Should it be
0.00 - 1.00
0.00 - 100.00
any other alternative that I don't know
Is there a clear choice for that? A global way of representing on databases something that goes from 0 to 100% percent? Going further, what's the correct that type for it, float or decimal?
Thank you.
",<mysql><sql><types><floating-point><decimal>,499,0,0,1198,7,17,30,66,8111,0.0,33,7,23,2020-01-22 0:08,2020-01-22 0:20,,0.0,,Basic,8,"<mysql><sql><types><floating-point><decimal>, When to use float vs decimal, I'm building this API, and the database will store values that represent one of the following:
percentage
average
rate
I honestly have no idea how to represent something that the range is between 0 and 100% in numbers. Should it be
0.00 - 1.00
0.00 - 100.00
any other alternative that I don't know
Is there a clear choice for that? A global way of representing on databases something that goes from 0 to 100% percent? Going further, what's the correct that type for it, float or decimal?
Thank you.
","<myself><sal><types><floating-point><denial>, use float vs denial, i'm build apt, database store value repress one following: percentage average rate honestly idea repress cometh rang 0 100% numbers. 0.00 - 1.00 0.00 - 100.00 alter know clear choice that? global way repress database cometh go 0 100% percent? go further, what' correct type it, float denial? thank you."
49035178,Unable to locate System.Data.SqlClient reference,"I have a fresh Visual Studio 2017 Professional install. I'm building a quick POC Console application using .NET 4.7.1, and I'm unable to find the reference for System.Data.SqlClient.
I have scoured my system, and located 4 versions of System.Data.SqlClient.dll, but none are correct and won't compile.
I have also attempted to use System.Data, but no reference to SqlClient is located within. I have manually added the dll/reference for System.Data, but also did not resolve the reference issue.
My application is really simple at the moment, and it will NOT compile due to this missing reference.
What steps do I need to do to get this resolved?
using System;
using System.Data;
using System.Data.SqlClient;
namespace ConsoleApp1
{
    class Database
    {
        public void Start()
        {
            string connString = @""server=(local);initial     catalog=MyDatabase;Integrated Security=SSPI;"";
            using (SqlConnection conn = new SqlConnection(connString))
            {
                conn.Open();
                using (SqlCommand cmd = new SqlCommand(""SELECT TOP 10 ID, Name FROM TableA"", conn))
                {
                    using (SqlDataReader reader = cmd.ExecuteReader())
                    {
                        while(reader.Read())
                        {
                            Console.WriteLine(""ID: [{0}], Name: [{1}]"", reader.GetValue(0), reader.GetValue(1));
                        }
                    }
                }
            }
        }
    }
}
",<c#><sqlclient>,1511,0,29,267,1,2,9,37,70492,,3,7,23,2018-02-28 17:17,2018-08-15 14:53,2019-03-06 20:52,168.0,371.0,Basic,9,"<c#><sqlclient>, Unable to locate System.Data.SqlClient reference, I have a fresh Visual Studio 2017 Professional install. I'm building a quick POC Console application using .NET 4.7.1, and I'm unable to find the reference for System.Data.SqlClient.
I have scoured my system, and located 4 versions of System.Data.SqlClient.dll, but none are correct and won't compile.
I have also attempted to use System.Data, but no reference to SqlClient is located within. I have manually added the dll/reference for System.Data, but also did not resolve the reference issue.
My application is really simple at the moment, and it will NOT compile due to this missing reference.
What steps do I need to do to get this resolved?
using System;
using System.Data;
using System.Data.SqlClient;
namespace ConsoleApp1
{
    class Database
    {
        public void Start()
        {
            string connString = @""server=(local);initial     catalog=MyDatabase;Integrated Security=SSPI;"";
            using (SqlConnection conn = new SqlConnection(connString))
            {
                conn.Open();
                using (SqlCommand cmd = new SqlCommand(""SELECT TOP 10 ID, Name FROM TableA"", conn))
                {
                    using (SqlDataReader reader = cmd.ExecuteReader())
                    {
                        while(reader.Read())
                        {
                            Console.WriteLine(""ID: [{0}], Name: [{1}]"", reader.GetValue(0), reader.GetValue(1));
                        }
                    }
                }
            }
        }
    }
}
","<c#><sqlclient>, unable local system.data.sqlcli reference, fresh visual studio 2017 profession install. i'm build quick pot console applied use .net 4.7.1, i'm unable find refer system.data.sqlclient. scour system, local 4 version system.data.sqlclient.all, none correct compile. also attempt use system.data, refer sqlclient local within. manual ad all/refer system.data, also resolve refer issue. applied really simple moment, compel due miss reference. step need get resolved? use system; use system.data; use system.data.sqlclient; namespac consoleapp1 { class database { public void start() { string connstr = @""server=(local);into catalogue=database;inter security=ship;""; use (sqlconnect corn = new sqlconnection(connstring)) { corn.open(); use (sqlcommand cod = new sqlcommand(""select top 10 id, name table"", corn)) { use (sqldataread reader = cod.executereader()) { while(reader.read()) { console.writeline(""id: [{0}], name: [{1}]"", reader.getvalue(0), reader.getvalue(1)); } } } } } } }"
53249276,docker-compose mysql init sql is not executed,"I am trying to set up a mysql docker container and execute init sql script. Unfortunately the sql script is not executed. What am I doing wrong?
version: '3.3'
services:
  api:
    container_name: 'api'
    build: './api'
  ports:
    - target: 8080
      published: 8888
      protocol: tcp
      mode: host
  volumes:
    - './api:/go/src/app'
  depends_on:
    - 'mysql'
 mysql:
  image: 'mysql:latest'
  container_name: 'mysql'
  volumes:
    - ./db_data:/var/lib/mysql:rw
    - ./database/init.sql:/docker-entrypoint-initdb.d/init.sql:ro
  restart: always
  environment:
    MYSQL_USER: test
    MYSQL_PASSWORD: test
    MYSQL_ROOT_PASSWORD: test
    MYSQL_DATABASE: test
  ports:
    - '3306:3306'
volumes:
  db_data:
I execute file with docker-compose up -d --build
",<mysql><sql><database><docker><docker-compose>,773,0,31,479,1,4,12,44,21615,0.0,16,3,23,2018-11-11 13:35,2018-11-11 14:56,2018-11-12 2:32,0.0,1.0,Basic,9,"<mysql><sql><database><docker><docker-compose>, docker-compose mysql init sql is not executed, I am trying to set up a mysql docker container and execute init sql script. Unfortunately the sql script is not executed. What am I doing wrong?
version: '3.3'
services:
  api:
    container_name: 'api'
    build: './api'
  ports:
    - target: 8080
      published: 8888
      protocol: tcp
      mode: host
  volumes:
    - './api:/go/src/app'
  depends_on:
    - 'mysql'
 mysql:
  image: 'mysql:latest'
  container_name: 'mysql'
  volumes:
    - ./db_data:/var/lib/mysql:rw
    - ./database/init.sql:/docker-entrypoint-initdb.d/init.sql:ro
  restart: always
  environment:
    MYSQL_USER: test
    MYSQL_PASSWORD: test
    MYSQL_ROOT_PASSWORD: test
    MYSQL_DATABASE: test
  ports:
    - '3306:3306'
volumes:
  db_data:
I execute file with docker-compose up -d --build
","<myself><sal><database><doctor><doctor-compose>, doctor-compose myself knit sal executed, try set myself doctor contain execute knit sal script. unfortun sal script executed. wrong? version: '3.3' services: apt: container_name: 'apt' build: './apt' ports: - target: 8080 published: 8888 protocol: top mode: host volumes: - './apt:/go/sac/pp' depends_on: - 'myself' myself: image: 'myself:latest' container_name: 'myself' volumes: - ./db_data:/war/limb/myself:re - ./database/knit.sal:/doctor-entrypoint-initdb.d/knit.sal:to start: away environment: mysql_user: test mysql_password: test mysql_root_password: test mysql_database: test ports: - '3306:3306' volumes: db_data: execute file doctor-compose -d --build"
48967318,SQL Server Web vs Standard edition,"I have found out that there's two versions of SQL Server types that are very different in terms of pricing...
The Web version from my host provider costs about 13$ per 2 core packs, whereas the Standard edition is right around 200$.
From my standpoint, we expect our database to be around 150-200GB in size, only few tables would take up most of that space.
So my only concern is would the web version of SQL Server support this large database and not cause any performance issues to the end users?
How different is index rebuilding on Web and Standard version?
Can someone help me out with this?
",<sql><sql-server><performance><sql-server-2008><database-indexes>,597,0,0,3693,15,55,120,81,95448,0.0,406,1,23,2018-02-24 20:32,2018-02-24 21:28,2018-02-24 21:28,0.0,0.0,Basic,9,"<sql><sql-server><performance><sql-server-2008><database-indexes>, SQL Server Web vs Standard edition, I have found out that there's two versions of SQL Server types that are very different in terms of pricing...
The Web version from my host provider costs about 13$ per 2 core packs, whereas the Standard edition is right around 200$.
From my standpoint, we expect our database to be around 150-200GB in size, only few tables would take up most of that space.
So my only concern is would the web version of SQL Server support this large database and not cause any performance issues to the end users?
How different is index rebuilding on Web and Standard version?
Can someone help me out with this?
","<sal><sal-server><performance><sal-server-2008><database-indexes>, sal server web vs standard edition, found there' two version sal server type differ term pricking... web version host proved cost 13$ per 2 core packs, where standard edit right around 200$. standpoint, expect database around 150-200gb size, table would take space. concern would web version sal server support large database cause perform issue end users? differ index rebuild web standard version? someone help this?"
52148305,How to cascade delete document in mongodb?,"I have user and photo documents in Mongodb. Each photo belongs to user and a photo maybe shared among users. Lets say user1 has p1,p2,p3 photos and user2 has p3,p4,p5 photos. If I delete user1 (manually using tools like Compass), p1 and p2 should also be deleted but not p3. How to achieve this and what kind of database structure I need to define?
Currently if I delete user1, no photos are deleted and remain in databse which now makes the database corrupted from the point of view of the application using the database.
Its Spring Boot app and User and Photo are declared as:
import lombok.Builder;
import lombok.Data;
import org.springframework.data.annotation.Id;
import org.springframework.data.mongodb.core.mapping.DBRef;
import org.springframework.data.mongodb.core.mapping.Document;
@Document
@Data
@Builder
public class User {
    @Id
    private String id;
    @DBRef
    private Set&lt;Photo&gt; photos;
    private String name;
}
@Document
@Data
@Builder
public class Photo {
    @Id
    private String id;
    private String fileName;
}
",<mongodb><spring-boot><nosql>,1051,0,33,11616,40,116,195,69,20278,0.0,416,4,23,2018-09-03 10:54,2018-09-11 0:04,2018-09-11 0:04,8.0,8.0,Basic,9,"<mongodb><spring-boot><nosql>, How to cascade delete document in mongodb?, I have user and photo documents in Mongodb. Each photo belongs to user and a photo maybe shared among users. Lets say user1 has p1,p2,p3 photos and user2 has p3,p4,p5 photos. If I delete user1 (manually using tools like Compass), p1 and p2 should also be deleted but not p3. How to achieve this and what kind of database structure I need to define?
Currently if I delete user1, no photos are deleted and remain in databse which now makes the database corrupted from the point of view of the application using the database.
Its Spring Boot app and User and Photo are declared as:
import lombok.Builder;
import lombok.Data;
import org.springframework.data.annotation.Id;
import org.springframework.data.mongodb.core.mapping.DBRef;
import org.springframework.data.mongodb.core.mapping.Document;
@Document
@Data
@Builder
public class User {
    @Id
    private String id;
    @DBRef
    private Set&lt;Photo&gt; photos;
    private String name;
}
@Document
@Data
@Builder
public class Photo {
    @Id
    private String id;
    private String fileName;
}
","<mongodb><spring-boot><nose>, cascade delete document mongodb?, user photo document mongodb. photo belong user photo may share among users. let say user pp,pp,pp photo user pp,pp,pp photo. delete user (manual use tool like compass), pp pp also delete pp. achieve kind database structure need define? current delete user, photo delete remain data make database corrupt point view applied use database. spring boot pp user photo declare as: import look.builder; import look.data; import org.springframework.data.annexation.id; import org.springframework.data.mongodb.core.mapping.drew; import org.springframework.data.mongodb.core.mapping.document; @document @data @builder public class user { @id privat string id; @drew privat set&it;photo&it; photo; privat string name; } @document @data @builder public class photo { @id privat string id; privat string filename; }"
52048778,"OperationalError: cursor ""_django_curs_<id>"" does not exist","We have an online store web-app which is powered by django, postgresql and heroku. 
For a specific campaign (you can think a campaign like a product to purchase), we have sold 10k+ copies successfully. Yet some of our users are encountered this error according to our Sentry reports. Common specification of these users is; none of them have address information before the purchase. Generally, users fill out address form right after registering. If they don't, they need to fill the form while purchasing the product and submit them together. 
This is how the trace looks like:
OperationalError: cursor ""_django_curs_140398688327424_146"" does not exist
(66 additional frame(s) were not displayed)
...
  File ""store/apps/store_main/templatetags/store_form_filters.py"", line 31, in render_form
    return render_to_string('widgets/store_form_renderer.html', ctx)
  File ""store/apps/store_main/templatetags/store_form_filters.py"", line 20, in render_widget
    return render_to_string('widgets/store_widget_renderer.html', ctx)
  File ""store/apps/store_main/widgets.py"", line 40, in render
    attrs=attrs) + ""&lt;span class='js-select-support select-arrow'&gt;&lt;/span&gt;&lt;div class='js-select-support select-arrow-space'&gt;&lt;b&gt;&lt;/b&gt;&lt;/div&gt;""
OperationalError: cursor ""_django_curs_140398688327424_146"" does not exist 
So another weird common thing, there are exception messages between sql queries before the failure. You can see it in the image below: 
I'm adding it if they are somehow related. What may also be related is, the users who get this error are the users who tries to purchase the campaign right after a bulk mailing. So, extensive traffic might be the reason yet we are also not sure.
We asked Heroku about the problem since they are hosting the postgres, yet they do not have any clue either.
I know the formal reason of this error is trying to reach the cursor after a commit. Since it is destroyed after transaction, trying to reach it cause this error yet I don't see this in our scenario. We are not touching the cursor in any way. What am I missing? What may produce this error? How to prevent it? Any ideas would be appreciated.
",<python><django><postgresql><sentry><heroku-postgres>,2170,1,12,408,1,3,16,74,19009,0.0,69,4,23,2018-08-28 1:13,2019-04-29 11:11,,244.0,,Advanced,32,"<python><django><postgresql><sentry><heroku-postgres>, OperationalError: cursor ""_django_curs_<id>"" does not exist, We have an online store web-app which is powered by django, postgresql and heroku. 
For a specific campaign (you can think a campaign like a product to purchase), we have sold 10k+ copies successfully. Yet some of our users are encountered this error according to our Sentry reports. Common specification of these users is; none of them have address information before the purchase. Generally, users fill out address form right after registering. If they don't, they need to fill the form while purchasing the product and submit them together. 
This is how the trace looks like:
OperationalError: cursor ""_django_curs_140398688327424_146"" does not exist
(66 additional frame(s) were not displayed)
...
  File ""store/apps/store_main/templatetags/store_form_filters.py"", line 31, in render_form
    return render_to_string('widgets/store_form_renderer.html', ctx)
  File ""store/apps/store_main/templatetags/store_form_filters.py"", line 20, in render_widget
    return render_to_string('widgets/store_widget_renderer.html', ctx)
  File ""store/apps/store_main/widgets.py"", line 40, in render
    attrs=attrs) + ""&lt;span class='js-select-support select-arrow'&gt;&lt;/span&gt;&lt;div class='js-select-support select-arrow-space'&gt;&lt;b&gt;&lt;/b&gt;&lt;/div&gt;""
OperationalError: cursor ""_django_curs_140398688327424_146"" does not exist 
So another weird common thing, there are exception messages between sql queries before the failure. You can see it in the image below: 
I'm adding it if they are somehow related. What may also be related is, the users who get this error are the users who tries to purchase the campaign right after a bulk mailing. So, extensive traffic might be the reason yet we are also not sure.
We asked Heroku about the problem since they are hosting the postgres, yet they do not have any clue either.
I know the formal reason of this error is trying to reach the cursor after a commit. Since it is destroyed after transaction, trying to reach it cause this error yet I don't see this in our scenario. We are not touching the cursor in any way. What am I missing? What may produce this error? How to prevent it? Any ideas would be appreciated.
","<patron><django><postgresql><sentry><hero-postures>, operationalerror: curses ""_django_curs_<id>"" exist, online store web-pp power django, postgresql hero. specie campaign (you think campaign like product purchase), sold ask+ copy successfully. yet user count error accord sentry reports. common specie user is; none address inform purchase. generally, user fill address form right registering. don't, need fill form purchase product submit together. trace look like: operationalerror: curses ""_django_curs_140398688327424_146"" exist (66 admit frame(s) displayed) ... file ""store/apes/store_main/templatetags/store_form_filters.by"", line 31, render_form return render_to_string('widest/store_form_renderer.html', cox) file ""store/apes/store_main/templatetags/store_form_filters.by"", line 20, render_widget return render_to_string('widest/store_widget_renderer.html', cox) file ""store/apes/store_main/widest.by"", line 40, render matters=matters) + ""&it;span class='is-select-support select-arrow'&it;&it;/span&it;&it;did class='is-select-support select-arrow-space'&it;&it;b&it;&it;/b&it;&it;/did&it;"" operationalerror: curses ""_django_curs_140398688327424_146"" exist not weird common thing, except message sal query failure. see image below: i'm ad somehow related. may also relate is, user get error user try purchase campaign right bulk failing. so, extent traffic might reason yet also sure. ask hero problem since host postures, yet clue either. know formal reason error try reach curses commit. since destroy transaction, try reach cause error yet see scenario. touch curses way. missing? may produce error? prevent it? idea would appreciated."
53117988,sequelize select and include another table alias,"I'm using sequelize to acess a postgres database and I want to query for a city and for example include the ""Building"" table but I want to rename the output to ""buildings"" and return the http response  but I have this error:
  { SequelizeEagerLoadingError: building is associated to city using an alias. You'v
  e included an alias (buildings), but it does not match the alias defined in your a
  ssociation.
    City.findById(req.params.id,{
      include: [
        {
          model: Building, as: ""buildings""
        }
      ]
    }).then(city =&gt;{
      console.log(city.id);
         res.status(201).send(city);
    }) .catch(error =&gt; {
     console.log(error);
     res.status(400).send(error)
   });
city Model
            const models = require('../models2');
            module.exports = (sequelize, DataTypes) =&gt; {
              const City = sequelize.define('city', {
              name: { type: DataTypes.STRING, allowNull: false },
                status: { type: DataTypes.INTEGER, allowNull: false },
                latitude: { type: DataTypes.BIGINT, allowNull: false },
                longitude: { type: DataTypes.BIGINT, allowNull: false },
              }, { freezeTableName: true});
              City.associate = function(models) {
                // associations can be defined here
                 City.hasMany(models.building,{as: 'building', foreignKey: 'cityId'})
              };
              return City;
            };
",<node.js><postgresql><sequelize.js><sequelize-cli><sequelize-typescript>,1461,0,28,1835,4,28,54,60,58794,0.0,84,1,23,2018-11-02 11:44,2018-11-02 13:00,2018-11-02 13:00,0.0,0.0,Advanced,37,"<node.js><postgresql><sequelize.js><sequelize-cli><sequelize-typescript>, sequelize select and include another table alias, I'm using sequelize to acess a postgres database and I want to query for a city and for example include the ""Building"" table but I want to rename the output to ""buildings"" and return the http response  but I have this error:
  { SequelizeEagerLoadingError: building is associated to city using an alias. You'v
  e included an alias (buildings), but it does not match the alias defined in your a
  ssociation.
    City.findById(req.params.id,{
      include: [
        {
          model: Building, as: ""buildings""
        }
      ]
    }).then(city =&gt;{
      console.log(city.id);
         res.status(201).send(city);
    }) .catch(error =&gt; {
     console.log(error);
     res.status(400).send(error)
   });
city Model
            const models = require('../models2');
            module.exports = (sequelize, DataTypes) =&gt; {
              const City = sequelize.define('city', {
              name: { type: DataTypes.STRING, allowNull: false },
                status: { type: DataTypes.INTEGER, allowNull: false },
                latitude: { type: DataTypes.BIGINT, allowNull: false },
                longitude: { type: DataTypes.BIGINT, allowNull: false },
              }, { freezeTableName: true});
              City.associate = function(models) {
                // associations can be defined here
                 City.hasMany(models.building,{as: 'building', foreignKey: 'cityId'})
              };
              return City;
            };
","<node.is><postgresql><sequelae.is><sequelae-coli><sequelae-typescript>, sequel select include not table alias, i'm use sequel access poster database want query city example include ""building"" table want renal output ""buildings"" return http response error: { sequelizeeagerloadingerror: build cassock city use alias. you'v e include asia (buildings), match asia define association. city.findbyid(red.parts.id,{ include: [ { model: building, as: ""buildings"" } ] }).then(city =&it;{ console.log(city.id); yes.status(201).send(city); }) .catch(error =&it; { console.log(error); yes.status(400).send(error) }); city model cost model = require('../models'); module.export = (sequelae, datatypes) =&it; { cost city = sequelae.define('city', { name: { type: datatypes.string, allownull: fall }, status: { type: datatypes.inter, allownull: fall }, latitude: { type: datatypes.begin, allownull: fall }, longitude: { type: datatypes.begin, allownull: fall }, }, { freezetablename: true}); city.cassock = function(models) { // cassock define city.harmony(models.building,{as: 'building', foreigner: 'city'}) }; return city; };"
